appearance_id,game_id,player_id,player_club_id,player_current_club_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2469872_148396,2469872,148396,29228,2503,2014-07-27,Abdoulay Diaby,BE1,0,0,0,0,90
2479876_148396,2479876,148396,29228,2503,2014-08-02,Abdoulay Diaby,BE1,0,0,1,0,90
2479882_148396,2479882,148396,29228,2503,2014-08-09,Abdoulay Diaby,BE1,0,0,0,1,90
2486389_148396,2486389,148396,29228,2503,2014-08-15,Abdoulay Diaby,BE1,0,0,2,1,90
2488203_148396,2488203,148396,29228,2503,2014-08-23,Abdoulay Diaby,BE1,1,0,1,0,90
2493780_148396,2493780,148396,29228,2503,2014-08-30,Abdoulay Diaby,BE1,0,0,2,1,90
2494550_148396,2494550,148396,29228,2503,2014-09-14,Abdoulay Diaby,BE1,0,0,0,0,90
2494556_148396,2494556,148396,29228,2503,2014-09-20,Abdoulay Diaby,BE1,1,0,1,0,90
2494565_148396,2494565,148396,29228,2503,2014-09-27,Abdoulay Diaby,BE1,0,0,0,0,90
2503716_148396,2503716,148396,29228,2503,2014-10-04,Abdoulay Diaby,BE1,1,0,0,1,86
2503723_148396,2503723,148396,29228,2503,2014-10-18,Abdoulay Diaby,BE1,0,0,0,0,20
2503752_148396,2503752,148396,29228,2503,2014-10-26,Abdoulay Diaby,BE1,0,0,1,0,90
2503760_148396,2503760,148396,29228,2503,2014-10-30,Abdoulay Diaby,BE1,0,0,0,0,90
2503768_148396,2503768,148396,29228,2503,2014-11-02,Abdoulay Diaby,BE1,0,0,1,0,90
2503786_148396,2503786,148396,29228,2503,2014-11-08,Abdoulay Diaby,BE1,0,0,0,0,90
2512753_148396,2512753,148396,29228,2503,2014-11-22,Abdoulay Diaby,BE1,0,0,1,1,86
2512762_148396,2512762,148396,29228,2503,2014-11-29,Abdoulay Diaby,BE1,0,0,1,0,90
2512768_148396,2512768,148396,29228,2503,2014-12-06,Abdoulay Diaby,BE1,0,0,0,1,90
2512779_148396,2512779,148396,29228,2503,2014-12-13,Abdoulay Diaby,BE1,0,0,1,0,90
2512787_148396,2512787,148396,29228,2503,2014-12-20,Abdoulay Diaby,BE1,0,0,0,0,90
2512841_148396,2512841,148396,29228,2503,2014-12-26,Abdoulay Diaby,BE1,0,0,0,0,90
2482369_148396,2482369,148396,1082,2503,2015-02-28,Abdoulay Diaby,FR1,0,0,0,0,1
2482377_148396,2482377,148396,1082,2503,2015-03-08,Abdoulay Diaby,FR1,0,0,0,0,11
2482392_148396,2482392,148396,1082,2503,2015-03-15,Abdoulay Diaby,FR1,0,0,0,0,14
2639089_148396,2639089,148396,2282,2503,2015-07-16,Abdoulay Diaby,BESC,0,0,0,0,90
2587022_148396,2587022,148396,2282,2503,2015-07-24,Abdoulay Diaby,BE1,0,0,0,0,86
2602556_148396,2602556,148396,2282,2503,2015-07-28,Abdoulay Diaby,CLQ,0,0,0,0,90
2587031_148396,2587031,148396,2282,2503,2015-08-01,Abdoulay Diaby,BE1,0,0,1,0,45
2602557_148396,2602557,148396,2282,2503,2015-08-05,Abdoulay Diaby,CLQ,1,0,0,0,90
2587044_148396,2587044,148396,2282,2503,2015-08-09,Abdoulay Diaby,BE1,0,0,0,0,90
2587046_148396,2587046,148396,2282,2503,2015-08-14,Abdoulay Diaby,BE1,0,0,0,0,25
2609562_148396,2609562,148396,2282,2503,2015-08-18,Abdoulay Diaby,CLQ,0,0,0,0,55
2617067_148396,2617067,148396,2282,2503,2015-08-22,Abdoulay Diaby,BE1,1,0,0,0,90
2613774_148396,2613774,148396,2282,2503,2015-08-26,Abdoulay Diaby,CLQ,0,0,0,0,63
2617087_148396,2617087,148396,2282,2503,2015-08-30,Abdoulay Diaby,BE1,0,0,4,0,90
2624871_148396,2624871,148396,2282,2503,2015-09-11,Abdoulay Diaby,BE1,0,0,0,0,64
2618728_148396,2618728,148396,2282,2503,2015-09-17,Abdoulay Diaby,EL,0,0,0,0,60
2626586_148396,2626586,148396,2282,2503,2015-09-20,Abdoulay Diaby,BE1,0,0,0,0,23
2629213_148396,2629213,148396,2282,2503,2015-09-27,Abdoulay Diaby,BE1,0,0,0,0,20
2618755_148396,2618755,148396,2282,2503,2015-10-01,Abdoulay Diaby,EL,0,0,0,0,63
2618809_148396,2618809,148396,2282,2503,2015-10-22,Abdoulay Diaby,EL,0,0,0,0,72
2633806_148396,2633806,148396,2282,2503,2015-10-25,Abdoulay Diaby,BE1,0,0,0,1,28
2635116_148396,2635116,148396,2282,2503,2015-10-28,Abdoulay Diaby,BE1,0,0,2,0,77
2635122_148396,2635122,148396,2282,2503,2015-10-31,Abdoulay Diaby,BE1,0,0,1,0,81
2618811_148396,2618811,148396,2282,2503,2015-11-05,Abdoulay Diaby,EL,0,0,0,1,83
2636710_148396,2636710,148396,2282,2503,2015-11-08,Abdoulay Diaby,BE1,0,0,0,0,62
2636713_148396,2636713,148396,2282,2503,2015-11-21,Abdoulay Diaby,BE1,0,0,0,0,26
2618816_148396,2618816,148396,2282,2503,2015-11-26,Abdoulay Diaby,EL,0,0,0,0,9
2640901_148396,2640901,148396,2282,2503,2015-11-29,Abdoulay Diaby,BE1,0,0,0,0,89
2640909_148396,2640909,148396,2282,2503,2015-12-06,Abdoulay Diaby,BE1,1,0,1,0,90
2640917_148396,2640917,148396,2282,2503,2015-12-13,Abdoulay Diaby,BE1,0,0,0,0,67
2640925_148396,2640925,148396,2282,2503,2015-12-20,Abdoulay Diaby,BE1,0,0,0,0,45
2648376_148396,2648376,148396,2282,2503,2015-12-26,Abdoulay Diaby,BE1,0,0,1,0,17
2653862_148396,2653862,148396,2282,2503,2016-01-16,Abdoulay Diaby,BE1,0,0,1,1,88
2653900_148396,2653900,148396,2282,2503,2016-01-31,Abdoulay Diaby,BE1,0,0,0,1,89
2653907_148396,2653907,148396,2282,2503,2016-02-07,Abdoulay Diaby,BE1,1,0,0,0,88
2653915_148396,2653915,148396,2282,2503,2016-02-14,Abdoulay Diaby,BE1,0,0,0,0,69
2662184_148396,2662184,148396,2282,2503,2016-02-19,Abdoulay Diaby,BE1,0,0,1,1,78
2715933_148396,2715933,148396,2282,2503,2016-07-23,Abdoulay Diaby,BESC,0,0,0,0,27
2705347_148396,2705347,148396,2282,2503,2016-07-29,Abdoulay Diaby,BE1,0,0,0,0,90
2705355_148396,2705355,148396,2282,2503,2016-08-05,Abdoulay Diaby,BE1,0,0,0,0,79
2705369_148396,2705369,148396,2282,2503,2016-08-14,Abdoulay Diaby,BE1,0,0,0,0,90
2732074_148396,2732074,148396,2282,2503,2016-08-20,Abdoulay Diaby,BE1,0,0,0,0,66
2732077_148396,2732077,148396,2282,2503,2016-08-28,Abdoulay Diaby,BE1,0,0,0,0,24
2732094_148396,2732094,148396,2282,2503,2016-09-09,Abdoulay Diaby,BE1,0,0,0,0,90
2754189_148396,2754189,148396,2282,2503,2016-09-14,Abdoulay Diaby,CL,0,0,0,0,63
2732103_148396,2732103,148396,2282,2503,2016-09-17,Abdoulay Diaby,BE1,0,0,0,0,7
2732109_148396,2732109,148396,2282,2503,2016-10-02,Abdoulay Diaby,BE1,1,0,0,0,90
2732175_148396,2732175,148396,2282,2503,2016-10-23,Abdoulay Diaby,BE1,0,0,0,0,10
2732181_148396,2732181,148396,2282,2503,2016-10-26,Abdoulay Diaby,BE1,0,0,0,0,26
2732195_148396,2732195,148396,2282,2503,2016-10-29,Abdoulay Diaby,BE1,0,0,0,0,19
2755706_148396,2755706,148396,2282,2503,2016-11-02,Abdoulay Diaby,CL,1,0,0,0,45
2732220_148396,2732220,148396,2282,2503,2017-01-25,Abdoulay Diaby,BE1,0,0,0,0,2
2732233_148396,2732233,148396,2282,2503,2017-01-29,Abdoulay Diaby,BE1,0,0,0,0,31
2732247_148396,2732247,148396,2282,2503,2017-02-17,Abdoulay Diaby,BE1,0,0,0,1,27
2732263_148396,2732263,148396,2282,2503,2017-02-24,Abdoulay Diaby,BE1,0,0,0,1,24
2732276_148396,2732276,148396,2282,2503,2017-03-04,Abdoulay Diaby,BE1,0,0,0,0,27
