club_id,club_code,name,domestic_competition_id,country_name,stadium_name,stadium_seats
10484,kasimpasa,Kasımpaşa A.Ş.,TR1,Türkiye,Recep Tayyip Erdoğan Stadyumu,13797
1082,losc-lille,Lille Olympique Sporting Club,FR1,France,Decathlon Arena-Stade Pierre-Mauroy,50186
110302,avs-futebol-sad,AVS Futebol SAD,PO1,Portugal,Estádio do Clube Desportivo das Aves,6230
11282,alanyaspor,Alanyaspor,TR1,Türkiye,Alanya Oba Stadyumu,9727
114,besiktas-istanbul,Beşiktaş Jimnastik Kulübü,TR1,Türkiye,Beşiktaş Park,42684
120,kocaelispor,Kocaelispor Kulübü,TR1,Türkiye,Turka Araç Muayene Kocaeli Stadyumu,34829
126,caykur-rizespor,Çaykur Rizespor Kulübü,TR1,Türkiye,Çaykur Didi,14879
141,galatasaray-istanbul,Galatasaray Spor Kulübü,TR1,Türkiye,Ali Sami Yen Spor Kompleksi RAMS Park,53978
1467,goztepe,Göztepe Sportif Yatırımlar A.Ş.,TR1,Türkiye,Gürsel Aksel Stadyumu,23376
152,samsunspor,Samsunspor,TR1,Türkiye,Samsun Yeni 19 Mayıs,34303
2282,fc-brugge,Club Brugge Koninklijke Voetbalvereniging,BE1,Belgium,Jan Breydelstadion,29062
2293,konyaspor,Konyaspor,TR1,Türkiye,Medaş Konya Büyükşehir Stadyumu,41600
2381,sivasspor,Sivasspor,TR1,Türkiye,BG Grup 4 Eylül Stadyumu,27817
2420,vitoria-guimaraes-sc,Vitória Sport Clube,PO1,Portugal,Estádio D. Afonso Henriques,30029
2423,cd-santa-clara,Clube Desportivo Santa Clara,PO1,Portugal,Estádio de São Miguel,12500
2424,gil-vicente-fc,Gil Vicente Futebol Clube,PO1,Portugal,Estádio Cidade de Barcelos,12046
2425,rio-ave-fc,Rio Ave Futebol Clube,PO1,Portugal,Estádio do Rio Ave FC,5300
2503,boavista-porto-fc,Boavista FC,PO1,Portugal,Estádio do Bessa Século XXI,28263
2832,gaziantep-fk,Gaziantep Futbol Kulübü A.Ş.,TR1,Türkiye,Gaziantep Stadyumu,30320
29228,royal-excel-mouscron,Royal Excel Mouscron (-2022),BE1,Belgium,Le Canonnier,10830
294,benfica-lissabon,Sport Lisboa e Benfica,PO1,Portugal,Estádio da Luz,68100
3205,kayserispor,Kayserispor Kulübü,TR1,Türkiye,RHG Enertürk Enerji Stadyumu,31856
3209,pendikspor,Pendikspor,TR1,Türkiye,Pendik Stadı,4105
336,sporting-lissabon,Sporting Clube de Portugal,PO1,Portugal,Estádio José Alvalade,52095
36,fenerbahce-istanbul,Fenerbahçe Spor Kulübü,TR1,Türkiye,Chobani Stadyumu FB Şükrü Saracoğlu Spor Kompleksi,47430
3709,fc-getafe,Getafe Club de Fútbol S. A. D. Team Dubai,ES1,Spain,Coliseum,16800
3840,adana-demirspor,Adana Demirspor,TR1,Türkiye,Yeni Adana Stadyumu,30960
4294,sc-farense,SC Farense,PO1,Portugal,Estádio de São Luís,7000
449,trabzonspor,Trabzonspor Kulübü,TR1,Türkiye,Papara Park,41000
553,ionikos-nikeas,Ionikos Nikeas,GR1,Greece,Dimotiko Gipedo Neapolis,5500
58,rsc-anderlecht,Royal Sporting Club Anderlecht,BE1,Belgium,Lotto Park,21900
589,antalyaspor,Antalyaspor,TR1,Türkiye,Corendon Airlines Park Antalya Stadı,29307
6646,fatih-karagumruk,Fatih Karagümrük Sportif Faaliyetler San. Tic. A.Ş.,TR1,Türkiye,Atatürk Olimpiyat,77563
6890,istanbul-basaksehir-fk,İstanbul Başakşehir Futbol Kulübü,TR1,Türkiye,Başakşehir Fatih Terim,17067
7160,eyupspor,Eyüp Spor Kulübü,TR1,Türkiye,Recep Tayyip Erdoğan Stadyumu,13797
720,fc-porto,Futebol Clube do Porto,PO1,Portugal,Estádio do Dragão,50033
7775,hatayspor,Hatayspor,TR1,Türkiye,Sarıseki Fuat Tosyalı Spor Kompleksi,9800
8024,fc-arouca,Futebol Clube de Arouca,PO1,Portugal,Estádio Municipal de Arouca,5000
820,genclerbirligi-ankara,Gençlerbirliği Spor Kulübü,TR1,Türkiye,Eryaman Stadyumu,20000
868,mke-ankaragucu,MKE Ankaragücü,TR1,Türkiye,Eryaman Stadyumu,20672
924,istanbulspor,Istanbulspor,TR1,Türkiye,Esenyurt Necmi Kadıoğlu Stadyumu,4274
979,moreirense-fc,Moreirense Futebol Clube,PO1,Portugal,Estádio C. J. de Almeida Freitas,6150
982,cd-nacional,Clube Desportivo Nacional,PO1,Portugal,Estádio da Madeira,5200
