competition_id,competition_code,name,sub_type,type,country_id,country_name,domestic_league_code,confederation
BE1,BE1,jupiler-pro-league,first_tier,domestic_league,22,Belgium,BE1,europa
BESC,BESC,volkswagen-supercup,domestic_super_cup,other,22,Belgium,BE1,europa
CDR,CDR,copa-del-rey,domestic_cup,domestic_cup,209,Spain,ES1,europa
CL,CL,uefa-champions-league,uefa_champions_league,international_cup,-1,,,europa
CLQ,CLQ,uefa-champions-league-qualifying,uefa_champions_league_qualifying,international_cup,-1,,,europa
EL,EL,uefa-europa-league,uefa_europa_league,other,-1,,,europa
ELQ,ELQ,uefa-europa-league-qualifying,uefa_europa_league_qualifying,other,-1,,,europa
ES1,ES1,laliga,first_tier,domestic_league,209,Spain,ES1,europa
FR1,FR1,ligue-1,first_tier,domestic_league,76,France,FR1,europa
GR1,GR1,super-league-1,first_tier,domestic_league,86,Greece,GR1,europa
PO1,PO1,liga-portugal,first_tier,domestic_league,176,Portugal,PO1,europa
POCP,POCP,allianz-cup,domestic_cup,domestic_cup,176,Portugal,PO1,europa
POSU,POSU,supertaca-candido-de-oliveira,domestic_super_cup,other,176,Portugal,PO1,europa
TR1,TR1,super-lig,first_tier,domestic_league,230,Türkiye,TR1,europa
